Brand Name,Model_Name,Model_Year,Emi Per Month,Down Payment,KMs Travelled,Owners,Fule Type,RTO Number,Location,Engine Displacement,Transmission Type,Original Price,Actual Price
Skoda,Rapid,2018,"15,589",Zero,"53,446",1,Petrol,TN-02,Chennai,,Automatic,"8,35,000","8,19,000"
Hyundai,i20,2011,"5,767",Zero,"50,046",3,Petrol,TN-02,Navalur,,Manual,"3,01,000","2,95,000"
Maruti,Alto 800,2014,"5,239",Zero,"92,289",2,Petrol,TN-22,Chennai,,Manual,"2,68,000","2,68,000"
Hyundai,VENUE,2019,"15,570",Zero,"75,430",1,Petrol,TN-12,Chennai,,Manual,"8,83,000","8,18,000"
Maruti,Swift Dzire,2016,"12,532",Zero,"85,399",2,Diesel,TN-09,Chennai,,Automatic,"6,79,000","6,41,000"
Tata,NEXON,2018,"16,503",Zero,"26,820",1,Petrol,TN-11,Chennai,,Automatic,"8,67,000","8,67,000"
Renault,Kwid,2018,"5,963",Zero,"53,751",3,Petrol,TN-55,Chennai,,Manual,"3,40,000","3,05,000"
Renault,Kwid,2018,"7,312",Zero,"55,873",1,Petrol,TN-18,Chennai,,Automatic,"4,16,000","3,74,000"
Tata,Zest,2015,"7,879",Zero,"80,375",1,Petrol,TN-01,Chennai,,Manual,"4,03,000","4,03,000"
Volkswagen,Polo,2020,"12,610",Zero,"43,712",1,Petrol,TN-14,Chennai,,Manual,"6,45,000","6,45,000"
Honda,Amaze,2021,"13,998",Zero,"20,086",2,Petrol,TN-05,Chennai,1.2,Manual,"7,16,000","7,16,000"
Hyundai,Elite i20,2016,"11,124",Zero,"86,315",1,Petrol,TN-01,Chennai,,Manual,"6,08,000","5,69,000"
Mahindra,XUV 3OO,2021,"20,785",Zero,"22,402",1,Petrol,TN-74,Chennai,8.0,Manual,"11,37,000","10,92,000"
Maruti,Swift Dzire,2014,"8,543",Zero,"49,387",2,Petrol,TN-07,Chennai,,Manual,"4,82,000","4,37,000"
Hyundai,Elite i20,2018,"13,255",Zero,"55,101",2,Petrol,TN-87,Chennai,,Manual,"7,26,000","6,78,000"
Nissan,MAGNITE,2022,"11,945",Zero,"37,716",1,Petrol,TN-03,Chennai,,Manual,"6,22,000","6,11,000"
Maruti,Swift,2013,"7,194",Zero,"88,122",3,Petrol,TN-11,Chennai,,Manual,"4,14,000","3,68,000"
Hyundai,Verna,2017,"15,989",Zero,"82,176",1,Diesel,TN-18,Chennai,1.6,Manual,"8,57,000","8,40,000"
Honda,City,2013,"9,619",Zero,"40,416",1,Petrol,KA-05,Benga...,1.5,Manual,"5,44,000","4,92,000"
Hyundai,Creta,2016,"16,445",Zero,"81,853",2,Petrol,KA-01,Bengaluru,,Manual,"9,29,000","8,64,000"
Datsun,Redi Go,2018,"5,161",Zero,"73,509",2,Petrol,KA-19,Benga...,,Manual,"2,77,000","2,64,000"
Toyota,Innova Crysta,2016,"37,535",Zero,"35,807",1,Diesel,KA-03,Bengaluru,2.4,Manual,"20,01,000","19,72,000"
Toyota,Etios Liva,2011,"7,077",Zero,"56,898",1,Petrol,KA-03,Bengaluru,,Manual,"3,62,000","3,62,000"
Honda,Amaze,2018,"14,975",Zero,"53,497",2,Diesel,KA-53,Benga...,1.5,Automatic,"8,02,000","7,66,000"
Maruti,Omni,2015,"5,220",Zero,"56,292",1,Petrol,KA-01,Bengaluru,5.0,Manual,"2,75,000","2,67,000"
Maruti,Swift Dzire,2016,"11,476",Zero,"43,138",1,Petrol,KA-03,Bengaluru,,Manual,"6,47,000","5,87,000"
Hyundai,Verna,2011,"7,370",Zero,"83,667",2,Diesel,KA-03,Bengaluru,,Manual,"3,92,000","3,77,000"
Volkswagen,Polo,2016,"10,792",Zero,"90,261",1,Petrol,KA-03,Bengaluru,,Manual,"5,98,000","5,52,000"
Nissan,Micra,2016,"8,367",Zero,"77,282",1,Petrol,KA-04,Bengaluru,,Automatic,"4,39,000","4,28,000"
Honda,City,2017,"18,730",Zero,"76,428",2,Petrol,KA-50,Bengaluru,1.5,Automatic,"9,84,000","9,84,000"
Volkswagen,Polo,2010,"6,588",Zero,"52,771",2,Petrol,KA-03,Bengaluru,,Manual,"3,51,000","3,37,000"
Honda,City,2012,"8,602",Zero,"71,592",2,Petrol,KA-03,Bengaluru,1.5,Manual,"4,58,000","4,40,000"
Tata,Tiago,2016,"9,130",Zero,"67,261",2,Petrol,KA-21,Bengaluru,,Manual,"5,13,000","4,67,000"
Tata,TIGOR,2020,"14,682",Zero,"25,790",1,Petrol,KA-02,Bengaluru,,Manual,"7,79,000","7,51,000"
Tata,Tiago,2016,"9,658",Zero,"25,950",1,Petrol,KA-03,Bengaluru,,Manual,"5,44,000","4,94,000"
Toyota,Etios Liva,2012,"8,113",Zero,"63,887",2,Diesel,KA-02,Bengaluru,,Manual,"4,40,000","4,15,000"
Hyundai,Verna,2015,"14,995",Zero,"58,676",1,Diesel,KA-01,Bengaluru,1.6,Manual,"7,89,000","7,67,000"
Hyundai,Verna,2015,"10,889",Zero,"65,868",3,Petrol,KA-51,Bengaluru,,Manual,"6,17,000","5,57,000"
Renault,Kwid,2016,"4,594",Zero,"80,786",2,Petrol,TS-03,Hyderabad,,Manual,"2,35,000","2,35,000"
