Availability,Residence Type,Price(in Crores),Area(sq.ft),Price per sq.ft (₹),Construction Status,Locality,City
3 BHK,Apartment,1.424,1779,8006,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,2.296,2242,10241,Under Construction,Gottigere,Bangalore
2 BHK,Apartment,1.028,1261,8155,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,1.361,1704,7988,Ready to move,Nagarbhavi,Bangalore
3 BHK,Apartment,2.304,2250,10240,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,1.428,1784,8005,Under Construction,Kogilu,Bangalore
2 BHK,Apartment,0.856,1046,8186,Ready to move,Nagarbhavi,Bangalore
1 BHK,Apartment,0.412,542,7606,Under Construction,Budigere Cross,Bangalore
3 BHK,Apartment,1.176,1454,8088,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,2.263,2209,10246,Under Construction,Gottigere,Bangalore
3 BHK,Apartment,1.067,1404,7602,Ready to move,Budigere Cross,Bangalore
3 BHK,Apartment,0.964,1186,8125,Ready to move,Nagarbhavi,Bangalore
3 BHK,Apartment,0.764,957,7986,Under Construction,Budigere Cross,Bangalore
3 BHK,Apartment,1.405,1754,8012,Under Construction,Kogilu,Bangalore
2 BHK,Apartment,0.718,894,8032,Under Construction,Budigere Cross,Bangalore
3 BHK,Apartment,1.181,1461,8085,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,1.197,1490,8033,Ready to move,Nagarbhavi,Bangalore
2 BHK,Apartment,0.684,848,8070,Under Construction,Budigere Cross,Bangalore
4 BHK,Apartment,4.096,2800,14628,Ready to move,Bommanahalli,Bangalore
2 BHK,Apartment,0.708,880,8043,Under Construction,Budigere Cross,Bangalore
2 BHK,Apartment,1.009,1235,8166,Under Construction,Kogilu,Bangalore
3 BHK,Apartment,0.823,1273,6466,Ready to move,Devanahalli,Bangalore
3 BHK,Apartment,0.829,1282,6463,Ready to move,Devanahalli,Bangalore
2 BHK,Apartment,0.662,1009,6561,Ready to move,Devanahalli,Bangalore
2 BHK,Apartment,0.655,997,6568,Ready to move,Devanahalli,Bangalore
3 BHK,Apartment,0.96,1498,6410,Ready to move,Devanahalli,Bangalore
3 BHK,Apartment,0.941,1466,6418,Ready to move,Devanahalli,Bangalore
2 BHK,Apartment,0.394,785,5024,Under Construction,Bidadi,Bangalore
2 BHK,Apartment,0.482,878,5492,Under Construction,Bidadi,Bangalore
3 BHK,Apartment,0.54,994,5432,Under Construction,Bidadi,Bangalore
Residential Plot,Residential,0.246,1500,1639,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,0.384,2400,1602,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,0.384,2400,1602,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,0.2,1200,1664,New,Karudabande Hosahalli,Bangalore
Residential Plot,Residential,0.2,1200,1664,New,Karudabande Hosahalli,Bangalore
2 BHK,Apartment,0.96,1148,8361,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,1.03,1240,8305,Under Construction,RR Nagar,Bangalore
3 BHK,Apartment,1.343,1652,8130,Under Construction,RR Nagar,Bangalore
2 BHK,Apartment,0.96,1148,8361,Under Construction,RR Nagar,Bangalore
3 BHK,Apartment,1.343,1652,8130,Under Construction,RR Nagar,Bangalore
Residential Plot,Residential,2.497,3875,6443,New,Devanahalli,Bangalore
Residential Plot,Residential,3.965,6200,6395,New,Devanahalli,Bangalore
2 BHK,Apartment,0.565,979,5775,Ready to move,Begur,Bangalore
Residential Plot,Residential,0.96,2400,3999,New,Devanahalli,Bangalore
Residential Plot,Residential,0.48,1200,3999,New,Devanahalli,Bangalore
Residential Plot,Residential,0.48,1200,3999,New,Devanahalli,Bangalore
3 BHK,Apartment,0.894,2079,4298,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,0.864,2008,4305,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,0.864,2008,4305,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,0.917,2136,4293,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,0.917,2136,4293,Ready to move,Hoskote,Bangalore
3 BHK,Apartment,2.106,1615,13040,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,2.146,1720,12475,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,2.508,1970,12733,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,3.4,2615,13001,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,2.157,1730,12471,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,2.82,2402,11740,Under Construction,HSR Layout,Bangalore
4 BHK,Apartment,2.82,2402,11740,Under Construction,HSR Layout,Bangalore
4 BHK,Apartment,2.89,2443,11829,Under Construction,HSR Layout,Bangalore
4 BHK,Apartment,2.89,2443,11829,Under Construction,HSR Layout,Bangalore
3 BHK,Apartment,2.45,2043,11992,Under Construction,HSR Layout,Bangalore
3 BHK,Apartment,2.45,2043,11992,Under Construction,HSR Layout,Bangalore
3 BHK,Apartment,1.99,1690,11775,Under Construction,HSR Layout,Bangalore
3 BHK,Apartment,1.99,1690,11775,Under Construction,HSR Layout,Bangalore
Residential Plot,Residential,0.288,1200,2400,New,Bidadi,Bangalore
Residential Plot,Residential,0.36,1500,2400,New,Bidadi,Bangalore
Residential Plot,Residential,0.288,1200,2400,New,Bidadi,Bangalore
3 BHK,Apartment,0.842,1503,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.768,1371,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.561,1001,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.77,1375,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.563,1006,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.626,1118,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.848,1515,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.774,1383,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.613,1094,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.834,1490,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.604,1078,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.603,1077,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.55,983,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.553,988,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.815,1456,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.817,1459,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.547,976,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.746,1333,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.584,1043,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.587,1048,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.577,1030,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.801,1430,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.8,1429,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.58,1035,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.578,1033,5600,Under Construction,Varthur,Bangalore
2 BHK,Apartment,0.569,1016,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.778,1390,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.781,1394,5600,Under Construction,Varthur,Bangalore
3 BHK,Apartment,0.78,1392,5600,Under Construction,Varthur,Bangalore
4 BHK,Apartment,2.156,2135,10099,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,2.156,2135,10099,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,1.941,1870,10378,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,1.941,1870,10378,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,2.604,2580,10093,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,2.604,2580,10093,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,2.005,1920,10443,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,2.005,1920,10443,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,1.641,1655,9914,Under Construction,Whitefield Hope Farm Junction,Bangalore
3 BHK,Apartment,1.641,1655,9914,Under Construction,Whitefield Hope Farm Junction,Bangalore
4 BHK,Apartment,5.55,5260,10551,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,5.3,4865,10894,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,4.4,3880,11340,Ready to move,Hebbal,Bangalore
3 BHK,Apartment,3.0,2526,11876,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,3.65,3210,11370,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,4.21,3800,11078,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,3.69,3335,11064,Ready to move,Hebbal,Bangalore
4 BHK,Apartment,1.531,2275,6731,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,1.531,2275,6731,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,1.531,2275,6731,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,1.531,2275,6731,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,1.016,1505,6749,Under Construction,Bettadasanapura,Bangalore
3 BHK,Apartment,1.016,1505,6749,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,1.525,2265,6732,Under Construction,Bettadasanapura,Bangalore
4 BHK,Apartment,1.525,2265,6732,Under Construction,Bettadasanapura,Bangalore
